Cohort,Accuracy,Kappa
C1,0.805555556,0.652293894
C2,0.916666667,0.85
C3,0.92733564,0.710903635
C4,0.795454545,0.61023622
C5,0.942857143,0.850746269
C6,0.9259259,0.8125
