,First trimester,Term
Chorionic villi,7,19
Trophoblast (EGFR+/KRT7+),5,19
Hofbauer (CD14+/CD68+),3,18
Endothelial (CD34+/CD31+),8,19
Stromal (VIM+),9,19
Mean Gestation age (mean and range in weeks),10.8 (6.4–13),39.0 (36.4–40.4)
Sex (n Males),4,9
