,First (n = 7),Term (n = 19)
Syncytiotrophoblast,35 (9),58 (8)
Trophoblast,16 (12),20 (6)
Stromal,43 (13),12 (3)
Hofbauer cells,3 (2),2.34 (1)
Endothelial,3 (2),7 (1)
Nucleated red blood cells,0 (0),0 (0)
