GEO Accession,Primary groups,African,Asian,Caucasian,Ambiguous
GSE98224,EOPET,5,4,10,0
,Preterm Controls,1,3,5,0
,LOPET,1,1,8,1
,Term Controls,0,4,5,0
GSE100197,EOPET,1,5,15,1
,Preterm Controls,1,4,19,0
,LOPET,0,6,12,0
,Term Controls,0,2,17,0
,IUGR,0,3,8,0
GSE71678,NA*,0,0,342,1
